Height,L_leng,L_Wid,L_rat,F_diam,F_rad,F_leng,F_rat
15,4,4.7,0.851,21.4,10.7,12,1.121
24.5,6,6.8,0.882,19.1,9.55,11.6,1.215
18,6.4,7.9,0.810,19.5,9.75,11.6,1.190
24.5,5,6,0.833,20,10,11.6,1.160
16.5,5.3,5.5,0.964,20.5,10.25,11.6,1.132
19,4.1,5.7,0.719,19.9,9.95,11.6,1.166
18,5.5,6.1,0.902,19.5,9.75,11.6,1.190
22.2,5.9,6.7,0.881,20.7,10.35,13.2,1.275
31,5,6.8,0.735,19.7,9.85,13.5,1.371
32.5,6.5,7.3,0.890,21,10.5,14.5,1.381
15,5,5.5,0.909,19.8,9.9,11.6,1.172
26.5,5.5,7.5,0.733,19,9.5,11.6,1.221
28.5,5.5,5.5,1.000,19.5,9.75,11.6,1.190
25.5,6,7.5,0.800,18.5,9.25,11.1,1.200
28.5,5.7,7.2,0.792,19.7,9.85,12.8,1.299
33,5.2,6.5,0.800,19.7,9.85,13,1.320
31,5.3,5.9,0.898,19.8,9.9,12.4,1.253
31.4,4.6,5.5,0.836,20.2,10.1,11.6,1.149
31,5.7,6.6,0.864,19,9.5,11.3,1.189
3.5,4.3,5,0.860,17.4,8.7,11.6,1.333
31,3.9,4.2,0.929,16.8,8.4,11,1.310
31,4.2,5,0.840,18.6,9.3,10.3,1.108
22,3.8,3.8,1.000,17.5,8.75,11.6,1.326
24.5,3.6,4.2,0.857,20.2,10.1,12.5,1.238
38,4.6,5.1,0.902,19.6,9.8,12.3,1.255
28.5,4,4.5,0.889,21.9,10.95,14,1.279
41.6,4.3,4.3,1.000,20.8,10.4,13,1.250
28.5,5.3,5.5,0.964,18,9,10.5,1.167
35,4.5,5.5,0.818,18,9,11.6,1.289
33,5.5,5.5,1.000,20,10,11.3,1.130
34,4.6,6,0.767,,,,
48,6.5,7.5,0.867,,,,
39,7,9,0.778,,,,
40,5.6,7.3,0.767,,,,
36,5.7,7.2,0.792,,,,
38.3,5,9,0.556,,,,
35,6.5,7.6,0.855,,,,
38,6.5,8.2,0.793,,,,
58,6,8,0.750,,,,
60.5,7.2,9.1,0.791,,,,
34.5,6,7.3,0.822,,,,
48.3,6.1,8,0.763,,,,
58,6,7.1,0.845,,,,
49.5,7,8.5,0.824,,,,
56,6.8,8,0.850,,,,
61,6.2,7.8,0.795,,,,
51.2,6,6.2,0.968,,,,
56.5,5.4,7.3,0.740,,,,
61,7,7.4,0.946,,,,
58,5.3,7.4,0.716,,,,
56.5,5,7,0.714,,,,
49,5.2,6.3,0.825,,,,
44.4,5,5.7,0.877,,,,
50.7,6,6.7,0.896,,,,
68.2,7,7.2,0.972,,,,
56,6.2,7.5,0.827,,,,
73.5,6.2,6.5,0.954,,,,
53.5,7,6.4,1.094,,,,
61,6,7.6,0.789,,,,
57.8,6.3,7.6,0.829,,,,
67.5,8.5,11.2,0.759,,,,
82.5,8.5,11,0.773,,,,
71.5,8.5,11.5,0.739,,,,
68,9,10.7,0.841,,,,
66,8,10.5,0.762,,,,
71.5,8,10.7,0.748,,,,
66.5,8,9,0.889,,,,
65.5,8,9,0.889,,,,
94,8.5,11.5,0.739,,,,
84.5,9,12,0.750,,,,
68.5,8.5,10.5,0.810,,,,
84,7.5,10,0.750,,,,
100,8.5,12,0.708,,,,
68,7.6,9.7,0.784,,,,
94,8.2,11.5,0.713,,,,
101,9,11.1,0.811,,,,
79,5,8.4,0.595,,,,
92,8.4,11.5,0.730,,,,
98,8.5,9.5,0.895,,,,
86.4,8.2,11.5,0.713,,,,
90.5,9,11,0.818,,,,
54,8.5,11.5,0.739,,,,
73,8.2,11.1,0.739,,,,
84.5,8.7,11.5,0.757,,,,
107,9,12,0.750,,,,
95,9.2,11,0.836,,,,
110,8.5,12.3,0.691,,,,
88,8.3,11.5,0.722,,,,
94,8.1,11,0.736,,,,
97.5,8.1,9.5,0.853,,,,
104,9.2,12.1,0.760,,,,
112,9.1,11.9,0.765,,,,
102,9.3,12.3,0.756,,,,
97.5,9,11.5,0.783,,,,
74.5,8.7,12.1,0.719,,,,
110.5,8.5,11.1,0.766,,,,
76.5,8.1,11.1,0.730,,,,
83.5,7.7,10.2,0.755,,,,
126.5,9.1,12,0.758,,,,
113.5,9.4,13,0.723,,,,
100,9.2,12,0.767,,,,
126,8.3,11.2,0.741,,,,
136,9.5,13.5,0.704,,,,
92,7.5,10.6,0.708,,,,
125,9,12,0.750,,,,
134,9.2,12.2,0.754,,,,
110,5,9.1,0.549,,,,
120.5,9,12.5,0.720,,,,
123,9.6,12.6,0.762,,,,
116,8.6,12,0.717,,,,
126,9.1,12,0.758,,,,
80,9.6,12.8,0.750,,,,
111,9,12.7,0.709,,,,
117,9.2,12.6,0.730,,,,
146,9,12,0.750,,,,
128,9.5,12.8,0.742,,,,
153,9.1,12.8,0.711,,,,
128.5,8.9,11.6,0.767,,,,
125,8.7,12,0.725,,,,
131,8.7,10.6,0.821,,,,
159,9.2,12.6,0.730,,,,
180,9.4,12.5,0.752,,,,
154,9.5,12.7,0.748,,,,
153,9,11.7,0.769,,,,
112,9,12.2,0.738,,,,
160.5,8.5,11.6,0.733,,,,
145.5,8.2,11.6,0.707,,,,
132,7.7,10,0.770,,,,
183,9.4,12.6,0.746,,,,
164,9.7,13,0.746,,,,
157,9.6,12.1,0.793,,,,
152,8.4,12.4,0.677,,,,
201,9.5,14.1,0.674,,,,
138.5,7.8,10.3,0.757,,,,
190,9,12.2,0.738,,,,
171.5,9.5,12.2,0.779,,,,
176,5,9.2,0.543,,,,
180,9.4,12.6,0.746,,,,
184.5,9.7,13,0.746,,,,
170,8.9,12.4,0.718,,,,
185,9.2,12,0.767,,,,
130,9.9,12.7,0.780,,,,
165,9.3,12.5,0.744,,,,
174.5,9.2,12.6,0.730,,,,
196,9.4,12.1,0.777,,,,
190.5,9.7,12.1,0.802,,,,
219,9.1,13.1,0.695,,,,
187,9.2,12.1,0.760,,,,
187,9,12,0.750,,,,
195,9,11.1,0.811,,,,
194,9.5,13,0.731,,,,
212,9.1,13,0.700,,,,
184,9.7,12.8,0.758,,,,
186,9.6,12.1,0.793,,,,
151,9.3,12.9,0.721,,,,
189,8.8,12,0.733,,,,
172,8.6,12,0.717,,,,
160,7.8,10.3,0.757,,,,
222,9.7,13.3,0.729,,,,
200,10,13.4,0.746,,,,
194,9.9,12.8,0.773,,,,
153.5,9,12.4,0.726,,,,
241,9.7,14.2,0.683,,,,
170,8,10.5,0.762,,,,
231,9,12.3,0.732,,,,
169,9.6,13.1,0.733,,,,
204,5.2,9.4,0.553,,,,
204,9.3,12.7,0.732,,,,
219,9.9,12.3,0.805,,,,
204,9,12.5,0.720,,,,
172,9.5,13.3,0.714,,,,
159.5,10.3,13.9,0.741,,,,
192,9.5,13.8,0.688,,,,
209,9.4,13.3,0.707,,,,
196,9.6,12.9,0.744,,,,
217,9.9,12.8,0.773,,,,
239,9.2,14,0.657,,,,
209,9.4,12.8,0.734,,,,
208,9.2,12.7,0.724,,,,
200,9.4,11.4,0.825,,,,
244.5,9.5,13.1,0.725,,,,
247,9.2,13.4,0.687,,,,
221,9.7,12.9,0.752,,,,
225,9.6,12.2,0.787,,,,
189,9.3,12.9,0.721,,,,
214,9,12.1,0.744,,,,
212,8.6,12,0.717,,,,
194,8,10.5,0.762,,,,
245,9.8,13.4,0.731,,,,
241,10.1,13.4,0.754,,,,
239,10,13,0.769,,,,
177,9,12.5,0.720,,,,
279,9.9,14.2,0.697,,,,
193,8,10.6,0.755,,,,
257,9.2,12.3,0.748,,,,
192,9.7,13,0.746,,,,
239,7.5,9.5,0.789,,,,
215,9.3,12.8,0.727,,,,
255,9.9,13.1,0.756,,,,
204,9,12.5,0.720,,,,
239,9,13.4,0.672,,,,
196,9.5,13.9,0.683,,,,
182,10.2,13.8,0.739,,,,
224,9.4,13.4,0.701,,,,
217,9.6,13,0.738,,,,
261,9.9,12.6,0.786,,,,
249,9.4,14,0.671,,,,
251,9.4,12.8,0.734,,,,
210,9.2,12.7,0.724,,,,
231,9.4,11.4,0.825,,,,