,Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
,Kenya,Central,Karatina (Nyeri),food_price_index,2024-03-01,1.2,1.22,1.18,1.2,KES
,Kenya,Eastern,Tala Centre Market (Machakos),food_price_index,2024-03-01,1.2,1.22,1.17,1.2,KES
,Kenya,Eastern,Kathonzweni (Makueni),food_price_index,2024-03-01,1.21,1.24,1.19,1.22,KES
,Kenya,Eastern,Kitui,food_price_index,2024-03-01,1.21,1.24,1.18,1.21,KES
,Kenya,Eastern,Makueni,food_price_index,2024-03-01,1.21,1.24,1.19,1.21,KES
,Kenya,Eastern,Wote town (Makueni),food_price_index,2024-03-01,1.21,1.24,1.19,1.22,KES
,Kenya,Nairobi,Mukuru (Nairobi),food_price_index,2024-03-01,1.21,1.23,1.18,1.22,KES
,Kenya,Eastern,Kitui town (Kitui),food_price_index,2024-03-01,1.22,1.23,1.2,1.22,KES
,Kenya,Nairobi,Dandora (Nairobi),food_price_index,2024-03-01,1.22,1.24,1.19,1.23,KES
,Kenya,Nairobi,Kangemi (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.23,KES
,Kenya,Nairobi,Kibra (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.23,KES
,Kenya,Nairobi,Kitengela (Kajiado),food_price_index,2024-03-01,1.22,1.25,1.2,1.22,KES
,Kenya,Nairobi,Mathare (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.22,KES
,Kenya,Nairobi,Wakulima (Nairobi),food_price_index,2024-03-01,1.22,1.24,1.2,1.22,KES
,Kenya,Nairobi,Kawangware (Nairobi),food_price_index,2024-03-01,1.23,1.25,1.2,1.23,KES
,Kenya,Rift Valley,Kajiado,food_price_index,2024-03-01,1.23,1.25,1.2,1.23,KES
,Kenya,Rift Valley,Nakuru,food_price_index,2024-03-01,1.23,1.26,1.2,1.23,KES
,Kenya,Eastern,Isiolo town,food_price_index,2024-03-01,1.24,1.26,1.22,1.23,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),food_price_index,2024-03-01,1.24,1.26,1.22,1.23,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),food_price_index,2024-03-01,1.24,1.27,1.22,1.25,KES
,Kenya,Nairobi,Nairobi,food_price_index,2024-03-01,1.25,1.28,1.23,1.26,KES
,Kenya,Coast,Kilifi,food_price_index,2024-03-01,1.27,1.29,1.25,1.27,KES
,Kenya,Coast,Vanga (Kwale),food_price_index,2024-03-01,1.27,1.3,1.24,1.27,KES
,Kenya,Rift Valley,Wakulima (Nakuru),food_price_index,2024-03-01,1.27,1.29,1.25,1.27,KES
,Kenya,Coast,Kalahari (Mombasa),food_price_index,2024-03-01,1.28,1.31,1.25,1.28,KES
,Kenya,Coast,Moroto (Mombasa),food_price_index,2024-03-01,1.28,1.32,1.25,1.29,KES
,Kenya,Coast,Bangladesh (Mombasa),food_price_index,2024-03-01,1.29,1.32,1.26,1.28,KES
,Kenya,Coast,Junda (Mombasa),food_price_index,2024-03-01,1.29,1.31,1.26,1.28,KES
,Kenya,Coast,Kisumu Ndogo (Mombasa),food_price_index,2024-03-01,1.29,1.31,1.26,1.28,KES
,Kenya,Coast,Kongowea (Mombasa),food_price_index,2024-03-01,1.29,1.32,1.27,1.28,KES
,Kenya,Coast,Mombasa,food_price_index,2024-03-01,1.29,1.31,1.27,1.29,KES
,Kenya,Coast,Shonda (Mombasa),food_price_index,2024-03-01,1.29,1.31,1.26,1.28,KES
,Kenya,Nyanza,Kibuye (Kisumu),food_price_index,2024-03-01,1.3,1.33,1.28,1.31,KES
,Kenya,Market Average,Market Average,food_price_index,2024-03-01,1.31,1.34,1.28,1.31,KES
,Kenya,Nyanza,Kisumu,food_price_index,2024-03-01,1.31,1.34,1.28,1.3,KES
,Kenya,Rift Valley,Marigat (Baringo),food_price_index,2024-03-01,1.31,1.34,1.28,1.3,KES
,Kenya,Rift Valley,Marigat town (Baringo),food_price_index,2024-03-01,1.31,1.34,1.29,1.31,KES
,Kenya,Coast,Hola (Tana River),food_price_index,2024-03-01,1.33,1.36,1.3,1.33,KES
,Kenya,North Eastern,Garissa town (Garissa),food_price_index,2024-03-01,1.35,1.38,1.33,1.36,KES
,Kenya,Eastern,Marsabit town,food_price_index,2024-03-01,1.36,1.38,1.34,1.36,KES
,Kenya,Eastern,Marsabit,food_price_index,2024-03-01,1.37,1.39,1.34,1.37,KES
,Kenya,North Eastern,IFO (Daadab),food_price_index,2024-03-01,1.37,1.4,1.34,1.37,KES
,Kenya,North Eastern,Takaba (Mandera),food_price_index,2024-03-01,1.37,1.4,1.35,1.38,KES
,Kenya,North Eastern,Wajir town,food_price_index,2024-03-01,1.37,1.39,1.34,1.37,KES
,Kenya,Rift Valley,Eldoret town (Uasin Gishu),food_price_index,2024-03-01,1.37,1.39,1.34,1.37,KES
,Kenya,North Eastern,Dadaab town,food_price_index,2024-03-01,1.38,1.4,1.36,1.38,KES
,Kenya,North Eastern,Hagadera (Daadab),food_price_index,2024-03-01,1.38,1.4,1.35,1.37,KES
,Kenya,Rift Valley,Kakuma 2,food_price_index,2024-03-01,1.38,1.4,1.36,1.39,KES
,Kenya,Rift Valley,Kakuma 4,food_price_index,2024-03-01,1.38,1.41,1.36,1.39,KES
,Kenya,Rift Valley,Kalobeyei (Village 1),food_price_index,2024-03-01,1.38,1.41,1.35,1.39,KES
,Kenya,Rift Valley,Kalobeyei (Village 2),food_price_index,2024-03-01,1.38,1.41,1.36,1.39,KES
,Kenya,Rift Valley,Mogadishu (Kakuma),food_price_index,2024-03-01,1.38,1.4,1.35,1.39,KES
,Kenya,North Eastern,Dagahaley (Daadab),food_price_index,2024-03-01,1.39,1.42,1.36,1.39,KES
,Kenya,Rift Valley,Ethiopia (Kakuma),food_price_index,2024-03-01,1.39,1.43,1.34,1.39,KES
,Kenya,Rift Valley,HongKong (Kakuma),food_price_index,2024-03-01,1.39,1.43,1.35,1.39,KES
,Kenya,Rift Valley,Kakuma 3,food_price_index,2024-03-01,1.39,1.41,1.36,1.39,KES
,Kenya,Rift Valley,Kalobeyei (Village 3),food_price_index,2024-03-01,1.39,1.43,1.35,1.39,KES
,Kenya,Rift Valley,Lomut (West Pokot),food_price_index,2024-03-01,1.39,1.42,1.37,1.4,KES
,Kenya,Rift Valley,Lodwar town,food_price_index,2024-03-01,1.4,1.44,1.37,1.41,KES
,Kenya,Rift Valley,Makutano (West Pokot),food_price_index,2024-03-01,1.4,1.42,1.38,1.4,KES
,Kenya,North Eastern,Mandera,food_price_index,2024-03-01,1.43,1.45,1.41,1.45,KES
,Kenya,North Eastern,Garissa,food_price_index,2024-03-01,1.44,1.46,1.42,1.44,KES
,Kenya,Rift Valley,Lodwar (Turkana),food_price_index,2024-03-01,1.47,1.49,1.44,1.48,KES
,Kenya,Rift Valley,Nakuru,bread,2024-03-01,47.74,48.11,47.37,47.8,KES
,Kenya,Central,Karatina (Nyeri),bread,2024-03-01,47.82,48.22,47.43,47.66,KES
,Kenya,Eastern,Tala Centre Market (Machakos),bread,2024-03-01,48.02,48.44,47.59,47.97,KES
,Kenya,Nairobi,Mukuru (Nairobi),bread,2024-03-01,48.08,48.54,47.62,48.51,KES
,Kenya,Rift Valley,Marigat (Baringo),bread,2024-03-01,48.13,48.55,47.7,48.18,KES
,Kenya,Eastern,Kitui town (Kitui),bread,2024-03-01,48.21,48.62,47.81,48.47,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),bread,2024-03-01,48.28,48.59,47.98,48.21,KES
,Kenya,Eastern,Makueni,bread,2024-03-01,48.29,48.63,47.95,48.43,KES
,Kenya,Eastern,Wote town (Makueni),bread,2024-03-01,48.3,48.65,47.95,48.46,KES
,Kenya,Nairobi,Wakulima (Nairobi),bread,2024-03-01,48.35,48.7,48,48.66,KES
,Kenya,Eastern,Kathonzweni (Makueni),bread,2024-03-01,48.37,48.75,47.98,48.47,KES
,Kenya,Nairobi,Dandora (Nairobi),bread,2024-03-01,48.4,48.86,48.01,48.86,KES
,Kenya,Eastern,Kitui,bread,2024-03-01,48.41,48.73,48.1,48.22,KES
,Kenya,Nairobi,Kangemi (Nairobi),bread,2024-03-01,48.41,48.87,47.96,48.87,KES
,Kenya,Rift Valley,Kajiado,bread,2024-03-01,48.41,48.81,48.01,48.58,KES
,Kenya,Coast,Kilifi,bread,2024-03-01,48.45,48.8,48.1,48.52,KES
,Kenya,Nairobi,Kibra (Nairobi),bread,2024-03-01,48.46,48.89,48.06,48.89,KES
,Kenya,Nairobi,Mathare (Nairobi),bread,2024-03-01,48.51,48.96,48.07,48.67,KES
,Kenya,Coast,Vanga (Kwale),bread,2024-03-01,48.53,48.87,48.2,48.66,KES
,Kenya,Nairobi,Kitengela (Kajiado),bread,2024-03-01,48.54,48.83,48.26,48.74,KES
,Kenya,Eastern,Isiolo town,bread,2024-03-01,48.55,49,48.11,48.33,KES
,Kenya,Nairobi,Kawangware (Nairobi),bread,2024-03-01,48.58,48.95,48.21,48.93,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),bread,2024-03-01,48.63,48.97,48.29,48.88,KES
,Kenya,Rift Valley,Marigat town (Baringo),bread,2024-03-01,48.7,49.15,48.25,48.57,KES
,Kenya,Eastern,Kitui,maize,2024-03-01,48.74,49.98,47.5,49.49,KES
,Kenya,Coast,Kalahari (Mombasa),bread,2024-03-01,48.75,49.12,48.37,48.84,KES
,Kenya,Coast,Moroto (Mombasa),bread,2024-03-01,48.81,49.27,48.35,48.88,KES
,Kenya,Coast,Bangladesh (Mombasa),bread,2024-03-01,48.84,49.34,48.34,48.84,KES
,Kenya,Coast,Junda (Mombasa),bread,2024-03-01,48.86,49.33,48.39,48.82,KES
,Kenya,Coast,Shonda (Mombasa),bread,2024-03-01,48.87,49.33,48.42,48.81,KES
,Kenya,Coast,Mombasa,bread,2024-03-01,48.92,49.36,48.49,49,KES
,Kenya,Coast,Kisumu Ndogo (Mombasa),bread,2024-03-01,48.93,49.28,48.58,48.79,KES
,Kenya,Nyanza,Kibuye (Kisumu),bread,2024-03-01,48.99,49.47,48.51,48.92,KES
,Kenya,Rift Valley,Wakulima (Nakuru),bread,2024-03-01,49,49.35,48.64,48.82,KES
,Kenya,Coast,Kongowea (Mombasa),bread,2024-03-01,49.02,49.51,48.53,48.79,KES
,Kenya,Nyanza,Kisumu,bread,2024-03-01,49.14,49.55,48.74,48.91,KES
,Kenya,Market Average,Market Average,bread,2024-03-01,49.29,49.68,48.9,49.35,KES
,Kenya,Coast,Hola (Tana River),bread,2024-03-01,49.47,49.85,49.08,49.47,KES
,Kenya,Nairobi,Nairobi,bread,2024-03-01,49.63,50.04,49.22,49.75,KES
,Kenya,North Eastern,Garissa town (Garissa),bread,2024-03-01,49.64,49.95,49.34,49.66,KES
,Kenya,Eastern,Marsabit town,bread,2024-03-01,49.85,50.2,49.49,49.96,KES
,Kenya,Rift Valley,Mogadishu (Kakuma),bread,2024-03-01,49.93,50.37,49.49,50.09,KES
,Kenya,Rift Valley,Kalobeyei (Village 2),bread,2024-03-01,49.96,50.32,49.61,50.03,KES
,Kenya,North Eastern,Hagadera (Daadab),bread,2024-03-01,49.97,50.29,49.64,50.04,KES
,Kenya,Rift Valley,Kakuma 2,bread,2024-03-01,49.97,50.31,49.63,50.06,KES
,Kenya,Rift Valley,Kalobeyei (Village 1),bread,2024-03-01,49.98,50.36,49.59,50.07,KES
,Kenya,Rift Valley,Kakuma 4,bread,2024-03-01,50.01,50.46,49.55,50.02,KES
,Kenya,Rift Valley,Kakuma 3,bread,2024-03-01,50.03,50.42,49.65,50.13,KES
,Kenya,Rift Valley,Makutano (West Pokot),bread,2024-03-01,50.03,50.39,49.68,50.01,KES
,Kenya,Rift Valley,Ethiopia (Kakuma),bread,2024-03-01,50.05,50.52,49.59,50.13,KES
,Kenya,North Eastern,IFO (Daadab),bread,2024-03-01,50.1,50.53,49.67,50.01,KES
,Kenya,North Eastern,Dadaab town,bread,2024-03-01,50.13,50.44,49.82,50.25,KES
,Kenya,Rift Valley,HongKong (Kakuma),bread,2024-03-01,50.14,50.66,49.62,50.12,KES
,Kenya,Rift Valley,Lomut (West Pokot),bread,2024-03-01,50.14,50.55,49.73,50.06,KES
,Kenya,North Eastern,Wajir town,bread,2024-03-01,50.18,50.57,49.79,50.18,KES
,Kenya,Rift Valley,Kalobeyei (Village 3),bread,2024-03-01,50.22,50.7,49.73,50.07,KES
,Kenya,Eastern,Marsabit,bread,2024-03-01,50.34,50.66,50.01,50.29,KES
,Kenya,Rift Valley,Lodwar town,bread,2024-03-01,50.44,50.95,49.92,50.33,KES
,Kenya,Rift Valley,Eldoret town (Uasin Gishu),bread,2024-03-01,50.48,50.93,50.04,50.92,KES
,Kenya,North Eastern,Takaba (Mandera),bread,2024-03-01,50.51,50.86,50.15,50.47,KES
,Kenya,North Eastern,Dagahaley (Daadab),bread,2024-03-01,50.58,50.87,50.28,50.45,KES
,Kenya,Rift Valley,Lodwar (Turkana),bread,2024-03-01,51.82,52.24,51.41,52.24,KES
,Kenya,North Eastern,Garissa,bread,2024-03-01,51.85,52.12,51.58,51.88,KES
,Kenya,North Eastern,Mandera,bread,2024-03-01,52.1,52.39,51.82,52.2,KES
,Kenya,Coast,Kilifi,maize,2024-03-01,57.96,59.37,56.56,58.87,KES
,Kenya,Eastern,Kitui town (Kitui),maize,2024-03-01,58.01,59.22,56.84,59.22,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),maize,2024-03-01,58.11,59.42,56.8,57.82,KES
,Kenya,Eastern,Tala Centre Market (Machakos),maize,2024-03-01,58.25,59.81,56.69,57.81,KES
,Kenya,Eastern,Wote town (Makueni),maize,2024-03-01,58.85,60.07,57.63,59.91,KES
,Kenya,Eastern,Makueni,maize,2024-03-01,59.02,60.39,57.64,59.84,KES
,Kenya,Eastern,Kathonzweni (Makueni),maize,2024-03-01,59.07,60.18,57.95,59.69,KES
,Kenya,Eastern,Isiolo town,maize,2024-03-01,59.16,60.88,57.45,58.46,KES
,Kenya,Central,Karatina (Nyeri),maize,2024-03-01,59.38,60.71,58.05,58.76,KES
,Kenya,Coast,Vanga (Kwale),maize,2024-03-01,59.85,61.31,58.39,60.34,KES
,Kenya,Nairobi,Mukuru (Nairobi),maize,2024-03-01,61.42,63.08,59.83,63.08,KES
,Kenya,Rift Valley,Nakuru,maize,2024-03-01,61.63,62.86,60.39,61.55,KES
,Kenya,Coast,Kalahari (Mombasa),maize,2024-03-01,61.91,63.45,60.37,62.23,KES
,Kenya,Coast,Shonda (Mombasa),maize,2024-03-01,62.1,63.59,60.62,62.14,KES
,Kenya,Coast,Moroto (Mombasa),maize,2024-03-01,62.17,63.57,60.77,62.75,KES
,Kenya,Coast,Junda (Mombasa),maize,2024-03-01,62.4,63.93,60.88,62.55,KES
,Kenya,Coast,Mombasa,maize,2024-03-01,62.41,63.81,61.01,63.52,KES
,Kenya,Coast,Kisumu Ndogo (Mombasa),maize,2024-03-01,62.48,64.01,60.95,62.11,KES
,Kenya,Coast,Bangladesh (Mombasa),maize,2024-03-01,62.51,63.77,61.25,62.62,KES
,Kenya,Coast,Kongowea (Mombasa),maize,2024-03-01,62.68,64.53,60.84,62.02,KES
,Kenya,Nyanza,Kisumu,maize,2024-03-01,62.77,64.04,61.5,62.94,KES
,Kenya,Nairobi,Dandora (Nairobi),maize,2024-03-01,63.14,64.64,61.65,64.57,KES
,Kenya,Nairobi,Wakulima (Nairobi),maize,2024-03-01,63.3,64.38,62.21,63.71,KES
,Kenya,Nairobi,Mathare (Nairobi),maize,2024-03-01,64.04,65.64,62.44,63.92,KES
,Kenya,Nairobi,Kangemi (Nairobi),maize,2024-03-01,64.05,65.45,62.68,65.45,KES
,Kenya,Nairobi,Kitengela (Kajiado),maize,2024-03-01,64.19,65.26,63.13,63.9,KES
,Kenya,Nyanza,Kibuye (Kisumu),maize,2024-03-01,64.22,65.72,62.73,63.88,KES
,Kenya,Nairobi,Kibra (Nairobi),maize,2024-03-01,64.27,65.8,62.74,64.75,KES
,Kenya,Nairobi,Kawangware (Nairobi),maize,2024-03-01,64.96,66.42,63.51,65.48,KES
,Kenya,Eastern,Marsabit town,maize,2024-03-01,65.48,66.88,64.07,65.97,KES
,Kenya,Coast,Hola (Tana River),maize,2024-03-01,67.25,68.92,65.57,66.73,KES
,Kenya,Eastern,Marsabit,maize,2024-03-01,68.23,69.29,67.18,68.09,KES
,Kenya,Rift Valley,Marigat (Baringo),maize,2024-03-01,68.49,70.34,66.63,67.84,KES
,Kenya,Market Average,Market Average,maize,2024-03-01,68.55,70.16,66.97,68.72,KES
,Kenya,North Eastern,Garissa town (Garissa),maize,2024-03-01,68.58,69.87,67.29,68.49,KES
,Kenya,Nairobi,Nairobi,maize,2024-03-01,69.22,71.89,66.55,69.65,KES
,Kenya,Rift Valley,Kajiado,maize,2024-03-01,69.23,71.26,67.2,69.04,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),maize,2024-03-01,69.55,70.89,68.21,69.44,KES
,Kenya,North Eastern,IFO (Daadab),maize,2024-03-01,70.52,72.36,68.68,70.13,KES
,Kenya,North Eastern,Dadaab town,maize,2024-03-01,70.53,71.83,69.23,71.23,KES
,Kenya,North Eastern,Hagadera (Daadab),maize,2024-03-01,70.6,71.81,69.38,71,KES
,Kenya,Rift Valley,Wakulima (Nakuru),maize,2024-03-01,71.41,73.23,69.59,70.62,KES
,Kenya,North Eastern,Wajir town,maize,2024-03-01,71.95,73.75,70.16,71.98,KES
,Kenya,Rift Valley,Marigat town (Baringo),maize,2024-03-01,72.01,73.97,70.05,70.8,KES
,Kenya,North Eastern,Dagahaley (Daadab),maize,2024-03-01,73.56,75.36,71.76,72.92,KES
,Kenya,North Eastern,Takaba (Mandera),maize,2024-03-01,74.28,76.01,72.54,74.11,KES
,Kenya,Rift Valley,Kalobeyei (Village 2),maize,2024-03-01,77.06,78.86,75.27,77.07,KES
,Kenya,Rift Valley,Kakuma 4,maize,2024-03-01,77.27,79.11,75.43,77.24,KES
,Kenya,Rift Valley,Kakuma 2,maize,2024-03-01,77.32,78.92,75.72,77.69,KES
,Kenya,Rift Valley,Makutano (West Pokot),maize,2024-03-01,77.33,78.5,76.17,77.82,KES
,Kenya,Rift Valley,Kalobeyei (Village 1),maize,2024-03-01,77.34,79.18,75.49,77.76,KES
,Kenya,Rift Valley,Kakuma 3,maize,2024-03-01,77.59,79.38,75.8,78.07,KES
,Kenya,Rift Valley,Ethiopia (Kakuma),maize,2024-03-01,77.69,79.84,75.54,78.08,KES
,Kenya,Rift Valley,Lomut (West Pokot),maize,2024-03-01,77.89,79.04,76.74,77.87,KES
,Kenya,Rift Valley,Mogadishu (Kakuma),maize,2024-03-01,77.98,79.84,76.13,77.68,KES
,Kenya,Rift Valley,HongKong (Kakuma),maize,2024-03-01,77.99,80.17,75.81,77.88,KES
,Kenya,Rift Valley,Kalobeyei (Village 3),maize,2024-03-01,78.88,80.81,76.95,77.79,KES
,Kenya,Rift Valley,Lodwar town,maize,2024-03-01,79.55,81.39,77.71,79.11,KES
,Kenya,Rift Valley,Eldoret town (Uasin Gishu),maize,2024-03-01,82.1,83.65,80.55,81.06,KES
,Kenya,North Eastern,Garissa,maize,2024-03-01,92.2,94.09,90.32,92.63,KES
,Kenya,Rift Valley,Lodwar (Turkana),maize,2024-03-01,93.43,96.68,90.89,96.68,KES
,Kenya,North Eastern,Mandera,maize,2024-03-01,94.8,97.24,92.35,95.02,KES
,Kenya,Eastern,Wote town (Makueni),beans,2024-03-01,149.8,154.28,145.31,153.75,KES
,Kenya,Eastern,Makueni,beans,2024-03-01,150.6,155.09,146.11,153.75,KES
,Kenya,Eastern,Kathonzweni (Makueni),beans,2024-03-01,150.79,155.32,146.27,153.92,KES
,Kenya,Eastern,Tala Centre Market (Machakos),beans,2024-03-01,152,156.82,147.18,154.63,KES
,Kenya,Eastern,Kitui,beans,2024-03-01,152.68,157.81,147.55,153.43,KES
,Kenya,Eastern,Kitui town (Kitui),beans,2024-03-01,152.74,156.5,148.98,153.65,KES
,Kenya,Central,Karatina (Nyeri),beans,2024-03-01,155.85,160.78,150.93,156.72,KES
,Kenya,Nairobi,Mukuru (Nairobi),beans,2024-03-01,156.57,161.71,151.44,157.4,KES
,Kenya,Nairobi,Kitengela (Kajiado),beans,2024-03-01,156.62,161.77,151.48,157.55,KES
,Kenya,Nairobi,Dandora (Nairobi),beans,2024-03-01,156.73,161.15,152.32,157.17,KES
,Kenya,Nairobi,Wakulima (Nairobi),beans,2024-03-01,156.95,161.79,152.12,157.55,KES
,Kenya,Nairobi,Nairobi,beans,2024-03-01,157.46,162.45,152.47,157.79,KES
,Kenya,Nairobi,Mathare (Nairobi),beans,2024-03-01,157.66,163.18,152.14,157.46,KES
,Kenya,Nairobi,Kibra (Nairobi),beans,2024-03-01,157.81,162.65,152.97,158.24,KES
,Kenya,Nairobi,Kawangware (Nairobi),beans,2024-03-01,158.26,163.61,152.92,158.63,KES
,Kenya,Nairobi,Kangemi (Nairobi),beans,2024-03-01,158.3,163.63,152.96,158.61,KES
,Kenya,Eastern,Isiolo town,beans,2024-03-01,158.39,163.72,153.06,159.35,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),beans,2024-03-01,159.49,164.05,154.94,160.5,KES
,Kenya,Rift Valley,Kajiado,beans,2024-03-01,161.11,166.94,155.28,161.47,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),beans,2024-03-01,162.2,167.24,157.16,162.87,KES
,Kenya,Coast,Vanga (Kwale),beans,2024-03-01,163.16,167.55,158.76,163.13,KES
,Kenya,Coast,Moroto (Mombasa),beans,2024-03-01,165.35,170.68,160.03,166.73,KES
,Kenya,Coast,Kalahari (Mombasa),beans,2024-03-01,166.02,170.47,161.56,166.53,KES
,Kenya,Rift Valley,Wakulima (Nakuru),beans,2024-03-01,166.22,171.58,160.86,167.74,KES
,Kenya,Coast,Kongowea (Mombasa),beans,2024-03-01,166.31,171.08,161.54,166.77,KES
,Kenya,Coast,Shonda (Mombasa),beans,2024-03-01,166.31,171.3,161.33,166.61,KES
,Kenya,Coast,Mombasa,beans,2024-03-01,166.49,171.27,161.71,166.8,KES
,Kenya,Coast,Kisumu Ndogo (Mombasa),beans,2024-03-01,166.52,171.55,161.5,167.02,KES
,Kenya,Rift Valley,Nakuru,beans,2024-03-01,167.04,172.43,161.65,168.59,KES
,Kenya,Coast,Bangladesh (Mombasa),beans,2024-03-01,167.08,172.64,161.53,166.56,KES
,Kenya,Coast,Junda (Mombasa),beans,2024-03-01,167.54,172.77,162.31,166.91,KES
,Kenya,Coast,Kilifi,beans,2024-03-01,168.85,173.94,163.76,169.78,KES
,Kenya,Market Average,Market Average,beans,2024-03-01,168.93,174.44,163.41,169.86,KES
,Kenya,Nyanza,Kisumu,beans,2024-03-01,172,177.91,166.09,174.19,KES
,Kenya,Nyanza,Kibuye (Kisumu),beans,2024-03-01,172.11,177.86,166.35,173.61,KES
,Kenya,Rift Valley,Kakuma 3,beans,2024-03-01,173.86,179.86,167.86,176.43,KES
,Kenya,Rift Valley,Mogadishu (Kakuma),beans,2024-03-01,173.94,181.08,166.81,176.41,KES
